ObjectID,memAbsoluteUsage,operateStatus,startMonitorTime,totalMemSize
R1.S1.LT1,950,idle,2020-11-27T11:24:28Z,1316
R1.S1.NTA,331,idle,2020-11-27T11:24:28Z,939
