ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON2.ONT7,NOCLEICODEG240WA,ALCLF87159DE,,WILDCARD,up,up
R1.S1.LT1.PON2.ONT4,NOCLEICODEG240WA,ALCLF8716A2C,,WILDCARD,up,down
R1.S1.LT1.PON3.ONT7,,ALCLF8716FFE,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT5,NOCLEICODEG240WA,ALCLF87150D6,,WILDCARD,up,up
R1.S1.LT1.PON6.ONT8,     00000G240WF,ALCLB3A5CD5C,,22259118,up,up
R1.S1.LT1.PON3.ONT8,NOCLEICODEG240WA,ALCLF87174AB,,WILDCARD,up,up
R1.S1.LT1.PON4.ONT7,,ALCLF871652F,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT6,,ALCLF87167FD,,WILDCARD,up,down
R1.S1.LT1.PON6.ONT5,     00000G240WF,ALCLB3A5CAE1,,22256008,up,up
R1.S1.LT1.PON1.ONT3,NOCLEICODEG240WA,ALCLF8716AEF,ADIDO1_PBO8-F1,22255648,up,up
R1.S1.LT1.PON2.ONT6,NOCLEICODEG240WA,ALCLF87151EA,,WILDCARD,up,up
R1.S1.LT1.PON3.ONT9,NOCLEICODEG240WA,ALCLF87167C7,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT7,NOCLEICODEG240WA,ALCLF87171F2,,WILDCARD,up,down
R1.S1.LT1.PON1.ONT4,     00000G240WF,ALCLB3A5CD3C,,22254828,up,down
R1.S1.LT1.PON2.ONT3,NOCLEICODEG240WA,ALCLF87158FF,,WILDCARD,up,up
R1.S1.LT1.PON4.ONT9,,ALCLF871729E,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT8,NOCLEICODEG240WA,ALCLF8715C89,,WILDCARD,up,up
R1.S1.LT1.PON6.ONT7,     00000G240WF,ALCLB3A5CB50,,22257148,up,up
R1.S1.LT1.PON2.ONT22,     00000G240WF,ALCLB3A5C4C1,,22519791,up,up
R1.S1.LT1.PON5.ONT23,,ALCLB372AF8E,,22511239,up,down
R1.S1.LT1.PON7.ONT29,NOCLEICODEG240WA,ALCLF8716DBE,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT27,     00000G240WF,ALCLB372BF2D,,22259048,up,up
R1.S1.LT1.PON1.ONT20,NOCLEICODEG010GA,ALCLB18A942F,,WILDCARD,up,up
R1.S1.LT1.PON5.ONT24,     00000G240WF,ALCLB372B040,,91970739,up,down
R1.S1.LT1.PON6.ONT23,     00000G240WF,ALCLB3A84E85,,22252855,up,up
R1.S1.LT1.PON8.ONT29,NOCLEICODEG240WA,ALCLF871707F,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT28,     00000G240WF,ALCLB3A7CBD0,,22506952,up,up
R1.S1.LT1.PON1.ONT21,     00000G240WF,ALCLB3A5CD0C,,22256355,up,down
R1.S1.LT1.PON2.ONT24,     00000G240WF,ALCLB3BD3B62,ADIDO1_PBO16-F6,22255313,up,up
R1.S1.LT1.PON9.ONT29,     00000G240WF,ALCLB3A5CBEB,,22506934,up,up
R1.S1.LT1.PON1.ONT22,,ALCLB37241BD,,22257106,up,down
R1.S1.LT1.PON2.ONT21,     00000G240WF,ALCLB3A5CB48,,22504940,up,up
R1.S1.LT1.PON3.ONT21,,ALCLF87159FB,,WILDCARD,up,down
