ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON4.ONT26.C14.P1,0,412533500890,0,51306193969,down
R1.S1.LT1.PON2.ONT22.C14.P1,0,1328508367016,0,189680377449,up
R1.S1.LT1.PON5.ONT23.C14.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT29.C14.P1,0,138845411629,0,19441115062,down
R1.S1.LT1.PON9.ONT27.C14.P1,0,4876795124873,0,406928799865,up
R1.S1.LT1.PON5.ONT24.C14.P1,0,881584536691,0,38843640528,down
R1.S1.LT1.PON6.ONT23.C14.P1,0,715654999699,0,48598765400,up
R1.S1.LT1.PON8.ONT29.C14.P1,0,740374454574,316,179846701604,down
R1.S1.LT1.PON9.ONT28.C14.P1,0,214075472535,0,25991296601,up
R1.S1.LT1.PON2.ONT20.C14.P1,0,1136750972750,0,200417725640,up
R1.S1.LT1.PON3.ONT23.C14.P1,0,2620028772647,0,243344059379,up
R1.S1.LT1.PON5.ONT21.C14.P1,0,1704062861652,0,115791949759,down
R1.S1.LT1.PON6.ONT24.C14.P1,0,16555,0,11869,down
R1.S1.LT1.PON7.ONT27.C14.P1,0,3289980486391,128,1142309447419,up
R1.S1.LT1.PON9.ONT25.C14.P1,0,597595694458,0,88541149654,up
R1.S1.LT1.PON3.ONT24.C14.P1,0,8837120099436,0,877502737620,up
R1.S1.LT1.PON4.ONT23.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT22.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT21.C14.P1,0,2227975024667,0,504501195497,up
R1.S1.LT1.PON7.ONT28.C14.P1,0,910808384954,3114,71127421943,down
R1.S1.LT1.PON8.ONT27.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT26.C14.P1,0,2361404908767,0,156844960000,up
R1.S1.LT1.PON3.ONT21.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT24.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT22.C14.P1,0,6578036061019,0,660049122369,up
R1.S1.LT1.PON7.ONT25.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT28.C14.P1,0,0,0,0,down
R1.S1.LT1.PON3.ONT22.C14.P1,0,312568313105,0,16653707006,up
R1.S1.LT1.PON4.ONT21.C14.P1,0,1105776494389,12447,177224665174,up
R1.S1.LT1.PON5.ONT20.C14.P1,0,3066170663320,0,240091060766,up
R1.S1.LT1.PON7.ONT26.C14.P1,0,362231223824,1802,74619448397,up
R1.S1.LT1.PON8.ONT25.C14.P1,0,4210681873240,1208,277140934253,up
R1.S1.LT1.PON1.ONT29.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT22.C14.P1,0,10306487347763,0,901668770498,up
R1.S1.LT1.PON6.ONT20.C14.P1,0,4125590681538,2132,335909000705,up
R1.S1.LT1.PON8.ONT26.C14.P1,0,4158368614869,16053,353686318523,up
R1.S1.LT1.PON2.ONT29.C14.P1,0,778677582945,0,140358294135,up
R1.S1.LT1.PON3.ONT20.C14.P1,0,463136204796,11008,57356662320,up
R1.S1.LT1.PON4.ONT20.C14.P1,0,2929678456064,17368,280273029692,up
